top,util,aspect,pearson,kendall,spearman,pearson_deg,kendall_deg,spearman_deg
ariane,0.65,1.0,0.4157340104827112,0.2250302827080665,0.3289592726648242,0.6143190035986512,0.4687265440722871,0.5721039999843502
mempool_tile_wrap,0.75,1.25,0.46678857554627734,0.2545196989823296,0.3727920225954573,0.6321641828031288,0.5019968005005871,0.6167414748586891
jpeg_encoder,0.75,0.75,0.3790829984606313,0.22621572629970657,0.3340936279546771,0.643359306737242,0.43380092475915943,0.5349079300270685
jpeg_encoder,0.7,1.5,0.37951607185512204,0.22524271142026178,0.3325402747283479,0.6427107267197884,0.4279046653731122,0.527771856756603
ariane,0.65,1.25,0.418089589669712,0.22668469265577393,0.33124589286525224,0.6178016912456433,0.46855328749117703,0.5721666791196751
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.65,1.5,0.4202199813488069,0.22577085150169005,0.33008842495152624,0.61856798032849,0.4669921056176304,0.5700287937020635
RocketTile,0.7,0.75,0.4892622797061884,0.3131702279352914,0.45124729284350157,0.6530350206618954,0.49848893397251987,0.6115147263486711
bsg_chip,0.5,2.0,0.4410968357502882,0.26244536189743717,0.3814572882587201,0.5873878552880561,0.4688731648601904,0.5704481001060615
bsg_chip,0.55,1.25,0.43937209332682564,0.2557188153021717,0.3725169653928874,0.5878237069793365,0.47883347414188915,0.5816198472303737
aes_cipher_top,0.7,0.75,0.32684974046067594,0.22707479007078288,0.3295641007184721,0.5288940634660492,0.4417002596687851,0.551926918672627
bsg_chip,0.6,1.75,0.4358449818203334,0.25674465248272454,0.3738568933270707,0.5894692706884777,0.48027637916840926,0.5837644416128744
mempool_tile_wrap,0.7,1.0,0.4684849716177758,0.2566915651329091,0.3756260835971141,0.6324229822306463,0.4990033484753908,0.6133336724971045
mempool_tile_wrap,0.8,0.75,0.4706454483673789,0.25892609439908165,0.37836865014432775,0.6360753569938765,0.49955132633845933,0.613585605454371
ariane,0.6,2.0,0.4167278017271805,0.22467549238368306,0.3284657725343749,0.6195128672821637,0.4714731982936301,0.5751139942959023
ariane,0.65,2.0,0.42198671855619796,0.2284377488719468,0.3339611038500573,0.6181661299104161,0.46996098654871254,0.5733080798103675
jpeg_encoder,0.75,0.5,0.3799272873684722,0.22904223248208308,0.33858084298251023,0.6395568371913893,0.43425111763974256,0.5345994033351267
RocketTile,0.8,1.25,0.4866661352020837,0.3112576604517049,0.4477268863573026,0.6599994303844092,0.4988310578329927,0.6114692119367212
bsg_chip,0.7,1.25,0.43475541547867813,0.25423755914492774,0.3704990173503466,0.5869509097033984,0.4827595659226373,0.5864459538416762
bsg_chip,0.65,1.25,0.4335744848331096,0.2534798256528446,0.3695705136665877,0.5860654677122982,0.4758251901876324,0.5782570616170479
jpeg_encoder,0.6,1.25,0.3786780711476446,0.22596678150223673,0.3338823809854693,0.6408283285168723,0.43268356920217804,0.5336460261255437
jpeg_encoder,0.8,0.5,0.38580230827061707,0.2309585371368693,0.3409386951678397,0.6377217175705502,0.42915901716714316,0.5288484057695302
